institution,type,nation,word_count,detection_raw,education_raw,detection_per_1k,education_per_1k,detection_keywords,education_keywords,framing_ratio,frame_category
University of Reading,Pre-1992,England,974,15,38,15.4,39.01,"{'plagiarism': 2, 'detection': 0, 'misconduct': 4, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 1, 'disciplinary': 1, 'sanction': 0, 'sanctions': 1, 'suspicious': 0, 'investigation': 0, 'academic integrity': 4, 'collusion': 0, 'unfair': 1, 'cheat': 0, 'cheating': 1, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 2, 'pedagogy': 0, 'skill': 0, 'skills': 4, 'curriculum': 0, 'learning': 9, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 3, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 3, 'evaluate': 0, 'understand': 1, 'understanding': 2, 'engage': 0, 'engagement': 0, 'support': 8, 'guidance': 4, 'learn': 1, 'teach': 0, 'teaching': 1, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.2830188679245283,Education-dominant
Newcastle University,Russell Group,England,1547,20,101,12.93,65.29,"{'plagiarism': 5, 'detection': 0, 'misconduct': 7, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 1, 'academic integrity': 5, 'collusion': 2, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 5, 'critical thinking': 1, 'pedagogy': 0, 'skill': 0, 'skills': 11, 'curriculum': 0, 'learning': 20, 'opportunity': 0, 'opportunities': 2, 'creativity': 0, 'creative': 1, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 5, 'development': 7, 'competence': 0, 'capability': 0, 'ethical': 2, 'ethics': 0, 'responsible': 2, 'responsibility': 2, 'reflection': 0, 'reflective': 2, 'critical': 4, 'evaluate': 1, 'understand': 0, 'understanding': 4, 'engage': 2, 'engagement': 0, 'support': 5, 'guidance': 6, 'learn': 2, 'teach': 0, 'teaching': 0, 'practice': 17, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.1652892561983471,Education-dominant
Cardiff University,Russell Group,Wales,743,2,55,2.69,74.02,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 1, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 1, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 1, 'curriculum': 0, 'learning': 19, 'opportunity': 0, 'opportunities': 1, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 1, 'co-creation': 3, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 1, 'development': 1, 'competence': 1, 'capability': 1, 'ethical': 3, 'ethics': 0, 'responsible': 3, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 1, 'understanding': 1, 'engage': 0, 'engagement': 1, 'support': 4, 'guidance': 3, 'learn': 1, 'teach': 0, 'teaching': 6, 'practice': 3, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.03508771929824561,Education-dominant
Swansea University,Pre-1992,Wales,1404,8,71,5.7,50.57,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 7, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 1, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 7, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 0, 'curriculum': 0, 'learning': 6, 'opportunity': 0, 'opportunities': 1, 'creativity': 1, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 1, 'dialogue': 0, 'empower': 0, 'develop': 4, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 7, 'ethics': 0, 'responsible': 9, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 2, 'evaluate': 0, 'understand': 3, 'understanding': 4, 'engage': 3, 'engagement': 1, 'support': 4, 'guidance': 6, 'learn': 4, 'teach': 0, 'teaching': 1, 'practice': 4, 'practices': 2, 'digital literacy': 1, 'information literacy': 0, 'media literacy': 0}",0.10126582278481013,Education-dominant
Aberystwyth University,Pre-1992,Wales,953,6,40,6.3,41.97,"{'plagiarism': 1, 'detection': 0, 'misconduct': 1, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 3, 'collusion': 0, 'unfair': 1, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 2, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 0, 'curriculum': 0, 'learning': 4, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 8, 'ethics': 2, 'responsible': 2, 'responsibility': 2, 'reflection': 0, 'reflective': 0, 'critical': 2, 'evaluate': 0, 'understand': 0, 'understanding': 1, 'engage': 1, 'engagement': 0, 'support': 3, 'guidance': 4, 'learn': 0, 'teach': 0, 'teaching': 3, 'practice': 3, 'practices': 3, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.13043478260869565,Education-dominant
University of Hull,Pre-1992,England,820,1,17,1.22,20.73,"{'plagiarism': 0, 'detection': 0, 'misconduct': 1, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 2, 'pedagogy': 0, 'skill': 0, 'skills': 1, 'curriculum': 0, 'learning': 1, 'opportunity': 0, 'opportunities': 0, 'creativity': 1, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 1, 'ethics': 1, 'responsible': 0, 'responsibility': 0, 'reflection': 1, 'reflective': 0, 'critical': 2, 'evaluate': 0, 'understand': 1, 'understanding': 0, 'engage': 0, 'engagement': 0, 'support': 0, 'guidance': 4, 'learn': 1, 'teach': 0, 'teaching': 0, 'practice': 1, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.05555555555555555,Education-dominant
University of Sussex,Pre-1992,England,3634,30,80,8.26,22.01,"{'plagiarism': 3, 'detection': 0, 'misconduct': 13, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 1, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 6, 'collusion': 1, 'unfair': 1, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 2, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 3, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 5, 'pedagogy': 0, 'skill': 0, 'skills': 13, 'curriculum': 0, 'learning': 7, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 3, 'development': 1, 'competence': 0, 'capability': 0, 'ethical': 1, 'ethics': 1, 'responsible': 2, 'responsibility': 0, 'reflection': 0, 'reflective': 1, 'critical': 6, 'evaluate': 3, 'understand': 2, 'understanding': 4, 'engage': 1, 'engagement': 0, 'support': 16, 'guidance': 12, 'learn': 2, 'teach': 0, 'teaching': 0, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.2727272727272727,Education-dominant
University of East Anglia,Pre-1992,England,5819,33,171,5.67,29.39,"{'plagiarism': 6, 'detection': 6, 'misconduct': 1, 'penalty': 0, 'penalties': 0, 'turnitin': 2, 'contract cheating': 2, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 3, 'academic integrity': 2, 'collusion': 3, 'unfair': 0, 'cheat': 0, 'cheating': 2, 'detect': 1, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 1, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 2, 'disclose': 1, 'not permitted': 0, 'not allowed': 1, 'zero tolerance': 0}","{'literacy': 1, 'critical thinking': 3, 'pedagogy': 1, 'skill': 3, 'skills': 9, 'curriculum': 0, 'learning': 25, 'opportunity': 0, 'opportunities': 7, 'creativity': 0, 'creative': 2, 'agency': 0, 'assessment design': 7, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 6, 'development': 8, 'competence': 0, 'capability': 0, 'ethical': 3, 'ethics': 2, 'responsible': 0, 'responsibility': 0, 'reflection': 2, 'reflective': 0, 'critical': 5, 'evaluate': 4, 'understand': 2, 'understanding': 14, 'engage': 1, 'engagement': 1, 'support': 18, 'guidance': 20, 'learn': 1, 'teach': 0, 'teaching': 18, 'practice': 6, 'practices': 1, 'digital literacy': 1, 'information literacy': 0, 'media literacy': 0}",0.16176470588235295,Education-dominant
University of York,Russell Group,England,2316,16,66,6.91,28.5,"{'plagiarism': 0, 'detection': 0, 'misconduct': 12, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 1, 'offences': 0, 'punishment': 0, 'prohibit': 1, 'prohibited': 1, 'violation': 0, 'unauthorised': 1, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 1, 'critical thinking': 1, 'pedagogy': 0, 'skill': 1, 'skills': 2, 'curriculum': 0, 'learning': 13, 'opportunity': 1, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 1, 'development': 1, 'competence': 0, 'capability': 0, 'ethical': 2, 'ethics': 1, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 5, 'evaluate': 0, 'understand': 2, 'understanding': 10, 'engage': 1, 'engagement': 4, 'support': 6, 'guidance': 7, 'learn': 4, 'teach': 0, 'teaching': 1, 'practice': 0, 'practices': 1, 'digital literacy': 1, 'information literacy': 0, 'media literacy': 0}",0.1951219512195122,Education-dominant
University of Warwick,Russell Group,England,1218,17,27,13.96,22.17,"{'plagiarism': 0, 'detection': 0, 'misconduct': 3, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 10, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 1, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 3, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 1, 'pedagogy': 0, 'skill': 0, 'skills': 4, 'curriculum': 0, 'learning': 1, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 1, 'evaluate': 2, 'understand': 5, 'understanding': 1, 'engage': 0, 'engagement': 0, 'support': 8, 'guidance': 3, 'learn': 1, 'teach': 0, 'teaching': 0, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.38636363636363635,Education-dominant
University of Kent,Pre-1992,England,224,1,13,4.46,58.04,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 1, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 0, 'curriculum': 0, 'learning': 1, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 1, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 1, 'understanding': 0, 'engage': 0, 'engagement': 0, 'support': 3, 'guidance': 5, 'learn': 2, 'teach': 0, 'teaching': 0, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.07142857142857142,Education-dominant
University of Bath,Pre-1992,England,466,10,18,21.46,38.63,"{'plagiarism': 1, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 9, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 1, 'critical thinking': 1, 'pedagogy': 0, 'skill': 1, 'skills': 3, 'curriculum': 0, 'learning': 2, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 2, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 1, 'evaluate': 0, 'understand': 0, 'understanding': 1, 'engage': 0, 'engagement': 0, 'support': 3, 'guidance': 2, 'learn': 0, 'teach': 0, 'teaching': 1, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.35714285714285715,Education-dominant
University of Surrey,Pre-1992,England,210,1,13,4.76,61.9,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 1, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 6, 'curriculum': 0, 'learning': 0, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 3, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 1, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 0, 'understanding': 0, 'engage': 0, 'engagement': 0, 'support': 3, 'guidance': 0, 'learn': 0, 'teach': 0, 'teaching': 0, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.07142857142857142,Education-dominant
Aston University,Pre-1992,England,486,1,16,2.06,32.92,"{'plagiarism': 0, 'detection': 0, 'misconduct': 0, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 1, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 1, 'curriculum': 0, 'learning': 6, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 1, 'responsible': 2, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 0, 'understanding': 0, 'engage': 0, 'engagement': 1, 'support': 0, 'guidance': 3, 'learn': 0, 'teach': 0, 'teaching': 1, 'practice': 1, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.058823529411764705,Education-dominant
Loughborough University,Pre-1992,England,848,8,14,9.43,16.51,"{'plagiarism': 0, 'detection': 0, 'misconduct': 3, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 4, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 1, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 1, 'curriculum': 0, 'learning': 0, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 1, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 1, 'ethics': 0, 'responsible': 0, 'responsibility': 1, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 0, 'understanding': 0, 'engage': 1, 'engagement': 0, 'support': 1, 'guidance': 6, 'learn': 0, 'teach': 0, 'teaching': 0, 'practice': 2, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.36363636363636365,Education-dominant
University of Salford,Pre-1992,England,481,2,7,4.16,14.55,"{'plagiarism': 0, 'detection': 0, 'misconduct': 1, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 1, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 0, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 2, 'curriculum': 0, 'learning': 0, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 0, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 0, 'evaluate': 0, 'understand': 1, 'understanding': 0, 'engage': 0, 'engagement': 0, 'support': 1, 'guidance': 3, 'learn': 0, 'teach': 0, 'teaching': 0, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.2222222222222222,Education-dominant
University of Strathclyde,Pre-1992,Scotland,1574,8,46,5.08,29.22,"{'plagiarism': 0, 'detection': 0, 'misconduct': 2, 'penalty': 0, 'penalties': 1, 'turnitin': 0, 'contract cheating': 0, 'breach': 0, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 2, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 1, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 1, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 1, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 1, 'pedagogy': 0, 'skill': 0, 'skills': 0, 'curriculum': 0, 'learning': 12, 'opportunity': 0, 'opportunities': 0, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 1, 'development': 2, 'competence': 0, 'capability': 0, 'ethical': 3, 'ethics': 0, 'responsible': 0, 'responsibility': 0, 'reflection': 0, 'reflective': 0, 'critical': 2, 'evaluate': 1, 'understand': 2, 'understanding': 1, 'engage': 0, 'engagement': 0, 'support': 3, 'guidance': 15, 'learn': 2, 'teach': 0, 'teaching': 1, 'practice': 0, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.14814814814814814,Education-dominant
Heriot-Watt University,Pre-1992,Scotland,1525,15,37,9.84,24.26,"{'plagiarism': 2, 'detection': 2, 'misconduct': 2, 'penalty': 0, 'penalties': 0, 'turnitin': 0, 'contract cheating': 0, 'breach': 1, 'disciplinary': 0, 'sanction': 0, 'sanctions': 0, 'suspicious': 0, 'investigation': 0, 'academic integrity': 8, 'collusion': 0, 'unfair': 0, 'cheat': 0, 'cheating': 0, 'detect': 0, 'detected': 0, 'offence': 0, 'offences': 0, 'punishment': 0, 'prohibit': 0, 'prohibited': 0, 'violation': 0, 'unauthorised': 0, 'unauthorized': 0, 'declare': 0, 'declaration': 0, 'disclose': 0, 'not permitted': 0, 'not allowed': 0, 'zero tolerance': 0}","{'literacy': 0, 'critical thinking': 0, 'pedagogy': 0, 'skill': 0, 'skills': 2, 'curriculum': 0, 'learning': 5, 'opportunity': 0, 'opportunities': 1, 'creativity': 0, 'creative': 0, 'agency': 0, 'assessment design': 0, 'co-creation': 0, 'student voice': 0, 'dialogue': 0, 'empower': 0, 'develop': 4, 'development': 0, 'competence': 0, 'capability': 0, 'ethical': 0, 'ethics': 0, 'responsible': 0, 'responsibility': 1, 'reflection': 0, 'reflective': 0, 'critical': 2, 'evaluate': 1, 'understand': 0, 'understanding': 2, 'engage': 1, 'engagement': 0, 'support': 5, 'guidance': 9, 'learn': 0, 'teach': 0, 'teaching': 3, 'practice': 1, 'practices': 0, 'digital literacy': 0, 'information literacy': 0, 'media literacy': 0}",0.28846153846153844,Education-dominant
