institution,type,subcategory,nation,policy_url,policy_format,date_published,date_accessed,has_policy,notes
University of Worcester,Post-1992,Post-2000 University,England,https://www.worcester.ac.uk/documents/policies/PositionStatementGenAI.pdf,pdf,,2026-02-16,yes,
University of Cumbria,Post-1992,Post-2000 University,England,https://my.cumbria.ac.uk/Student-Life/Learning/Skills-Cumbria/Referencing-and-Avoiding-Plagiarism/Generative-Artificial-Intelligence/,html,,2026-02-16,yes,
University of Suffolk,Post-1992,Post-2000 University,England,https://libguides.uos.ac.uk/artificial-intelligence,html,,2026-02-16,yes,
Solent University,Post-1992,Post-2000 University,England,https://students.solent.ac.uk/official-documents/solent-learning-and-teaching-institute/ai-and-academic-integrity-policy.pdf,pdf,,2026-02-16,yes,
Leeds Trinity University,Post-1992,Post-2000 University,England,https://library.leedstrinity.ac.uk/artificial-intelligence/evaluating-GenAI-content,html,,,no,URL did not contain AI policy content
Lincoln Bishop University,Post-1992,Post-2000 University,England,,,,,no,No public AI policy found via web search
St Mary's University Twickenham,Post-1992,Post-2000 University,England,https://www.stmarys.ac.uk/policies/docs/student-guidance-on-ai-september-2023.pdf,pdf,,2026-02-16,yes,
Plymouth Marjon University,Post-1992,Post-2000 University,England,,,,,no,No public AI policy found via web search
Buckinghamshire New University,Post-1992,Post-2000 University,England,https://www.bucks.ac.uk/current-students/registry-helpdesk-and-academic-advice/artificial-intelligence-guidance-students,html,,2026-02-16,yes,
University College Birmingham,Post-1992,Post-2000 University,England,https://www.ucb.ac.uk/media/zzikgpgf/university-college-birmingham-artificial-intelligence-acceptable-use-policy.pdf,pdf,,2026-02-16,yes,
University of West London,Post-1992,Post-2000 University,England,https://www.uwl.ac.uk/current-students/support-students/study-support/artificial-intelligence,html,,2026-02-16,yes,
Ravensbourne University London,Post-1992,Post-2000 University,England,,,,,no,No public AI policy found via web search
Hartpury University,Post-1992,Post-2000 University,England,,,,,no,No public AI policy found via web search
Falmouth University,Post-1992,Post-2000 University,England,https://www.falmouth.ac.uk/sites/default/files/media/downloads/academic-integrity-policy-23-july-2025.pdf,pdf,,2026-02-16,yes,
Wrexham University,Post-1992,Post-2000 University,Wales,https://wrexham.libguides.com/generativeai,html,,,no,URL did not contain AI policy content
University of Wales Trinity Saint David,Post-1992,Post-2000 University,Wales,https://uwtsd.ac.uk/media/5728/download?attachment=,pdf,,2026-02-16,yes,
University of the Highlands and Islands,Post-1992,Post-2000 University,Scotland,https://www.uhi.ac.uk/en/t4-media/one-web/university/about-uhi/governance/policies-and-regulations/policies/generative-ai/student-gai-guidance.pdf,pdf,,2026-02-16,yes,
Ulster University,Post-1992,Post-1992 Other,Northern Ireland,https://www.ulster.ac.uk/learningenhancement/cqe/strategies/ai/guidance-for-students,html,,,no,URL did not contain AI policy content
University of the Arts London,Specialist,Arts and Creative,England,https://www.arts.ac.uk/about-ual/teaching-and-learning-exchange/digital-learning/ai-and-education/student-guide-to-generative-ai,html,,,no,URL did not contain AI policy content
University for the Creative Arts,Specialist,Arts and Creative,England,https://mylibrary.uca.ac.uk/artificialintelligence,html,,,no,URL did not contain AI policy content
Arts University Bournemouth,Specialist,Arts and Creative,England,https://aub-uk.libguides.com/ailiteracy,html,,2026-02-16,yes,
Arts University Plymouth,Specialist,Arts and Creative,England,https://www.aup.ac.uk/reports-legal-privacy/generative-ai,html,,2026-02-16,yes,
Norwich University of the Arts,Specialist,Arts and Creative,England,,,,,no,No public AI policy found via web search
Leeds Arts University,Specialist,Arts and Creative,England,,,,,no,No public AI policy found via web search
Glasgow School of Art,Specialist,Arts and Creative,Scotland,,,,,no,No public AI policy found via web search
Royal College of Art,Specialist,Arts and Creative,England,https://researchonline.rca.ac.uk/5909/1/Responsible%20AI%20Report_final%20version_June2024.pdf,pdf,,2026-02-16,yes,
Royal College of Music,Specialist,Conservatoire,England,,,,,no,No public AI policy found via web search
Royal Academy of Music,Specialist,Conservatoire,England,https://www.ram.ac.uk/about-us/policies-and-procedures,html,,,no,URL did not contain AI policy content
Royal Northern College of Music,Specialist,Conservatoire,England,,,,,no,No public AI policy found via web search
Royal Conservatoire of Scotland,Specialist,Conservatoire,Scotland,https://www.rcs.ac.uk/wp-content/uploads/2023/11/Acceptable-use-of-generative-AI.pdf,pdf,,,no,URL did not contain AI policy content
Trinity Laban Conservatoire of Music and Dance,Specialist,Conservatoire,England,https://trinity-laban-assets.s3.amazonaws.com/uploads/2024/10/2024-25-Trinity-Laban-AI-Policy.pdf,pdf,,2026-02-16,yes,
Leeds Conservatoire,Specialist,Conservatoire,England,,,,,no,No public AI policy found via web search
Northern School of Contemporary Dance,Specialist,Conservatoire,England,,,,,no,No public AI policy found via web search
Royal Central School of Speech and Drama,Specialist,Conservatoire,England,,,,,no,No public AI policy found via web search
Guildhall School of Music and Drama,Specialist,Conservatoire,England,,,,,no,No public AI policy found via web search
Liverpool Institute for Performing Arts,Specialist,Conservatoire,England,,,,,no,No public AI policy found via web search
Courtauld Institute of Art,Specialist,Specialist Other,England,https://courtauld.ac.uk/wp-content/uploads/2024/08/Student-Academic-Integrity-and-Misconduct-Policy-2024-25.pdf,pdf,,2026-02-16,yes,
London School of Hygiene and Tropical Medicine,Specialist,Specialist Other,England,https://www.lshtm.ac.uk/study/new-students/study-skills,html,,,no,URL did not contain AI policy content
Liverpool School of Tropical Medicine,Specialist,Specialist Other,England,,,,,no,No public AI policy found via web search
Royal Agricultural University,Specialist,Specialist Other,England,,,,,no,No public AI policy found via web search
Royal Veterinary College,Specialist,Specialist Other,England,,,,,no,No public AI policy found via web search
Harper Adams University,Specialist,Specialist Other,England,https://cdn.harper-adams.ac.uk/document/ki/key-info-page/Academic-Integrity-and-Academic-Misconduct-A-Guide-for-Students-and-Tutors.pdf,pdf,,2026-02-16,yes,
Scotland's Rural College,Specialist,Specialist Other,Scotland,,,,,no,No public AI policy found via web search
London Business School,Specialist,Specialist Other,England,,,,,no,No public AI policy found via web search
School of Advanced Study University of London,Specialist,Specialist Other,England,https://www.london.ac.uk/sites/default/files/artificial-intelligence-policy-uol.pdf,pdf,,2026-02-16,no,Duplicate of University of London policy (same URL and document)
University of Buckingham,Specialist,Private,England,,,,,no,No public AI policy found via web search
University of Law,Specialist,Private,England,https://studentsunion.law.ac.uk/main-menu/su-advice/student-use-of-artificial-intelligence,html,,,no,URL did not contain AI policy content
BPP University,Specialist,Private,England,https://bpp.libguides.com/AI,html,,,no,URL did not contain AI policy content
Regent's University London,Specialist,Private,England,,,,,no,No public AI policy found via web search
Richmond The American International University in London,Specialist,Private,England,,,,,no,No public AI policy found via web search
European School of Economics,Specialist,Private,England,,,,,no,No public AI policy found via web search
Walbrook Institute London,Specialist,Private,England,,,,,no,No public AI policy found via web search
University of Wales,Pre-1992,Pre-1992 Other,Wales,,,,,no,No public AI policy found via web search
